label,content
1,纺织品、化纤原料、服装销售。
1,电线电缆、建筑材料、机械设备（除电动三轮车、汽车）、电子产品、五金销售，机械设备（除农业机械、汽车）安装、维修。
1,贳通机械设备（除特种）加工、销售；电气设备、机电设备及配件、轴承、金属材料、汽摩配件、焊割设备、仪器仪表、模具的销售。
1,消防工程的设计、施工、咨询服务；建筑装潢工程设计与施工；房屋水电安装；投资咨询；房屋租赁；消防器材、消防设备、五金、服装销售。
1,金属材料及制品、建筑装潢材料、普通机械及配件、炉料、针纺织品的销售。
1,电子设备、印刷设备、烘箱烘炉的生产、销售；电子设备安装工程施工。
1,计算机软硬件技术开发、技术推广、技术转让、技术咨询、技术服务；计算机系统服务；应用软件服务；信息技术服务；企业营销策划；室内装饰工程设计；自营和代理各类商品及技术的进出口业务（国家限定企业经营或禁止进出口的商品和技术除外）；室内亲子游乐服务（不含电子游艺）；销售及网上销售：母婴用品（不含药品）、食品、服装、玩具、劳保用品、出版物。
1,工艺品、日用百货、家用电器、办公用品、建筑材料、塑料制品、电子产品、化工产品（不含危险化学品）销售；皮革制品生产、加工、销售。
1,紧固件、模具、金属材料及制品、塑料原料及制品、普通机械及配件、电器机械及器材、橡塑制品、装饰材料、建筑材料的销售；紧固件、模具的制造。
1,汽车及配件、汽车用品、机械设备及零部件、五金交电、金属材料及制品、电器、日用品、家具、体育用品、塑料制品、橡胶制品、劳保用品、电子产品及配件、计算机、通讯器材、非危险化工产品、太阳能组件、矿产品、光伏材料、建材、针纺织品及原料、服装及辅料的销售；自营和代理各类商品及技术的进出口业务。(
1,焊割设备及其他机械设备的销售及售后服务；五金产品、电子产品、建材、金属材料、家用电器、一般劳保用品、磨具磨料、日用百货的销售。
